card_no,总交易次数,总金额,欺诈次数,可疑次数,唯一商户,唯一地区,唯一设备,欺诈率,风险等级,平均间隔小时,最小间隔分钟,最大交易间隔,间隔变异系数,金额波动率
6222021251837136,13,9424.56,6,0,10,7,13,0.46153846153846156,极高,287.89407407407407,798.7833333333333,730.1272222222223,0.7978220203249623,1.1516628817816053
6222023376077463,9,12133.18,4,0,9,7,9,0.4444444444444444,极高,440.9013194444444,613.1166666666667,939.1805555555555,0.8069100596525441,2.0834607257348243
6222026461974809,13,7663.6900000000005,4,0,13,9,13,0.3076923076923077,极高,286.2387268518518,1516.45,888.5077777777777,1.0624680646015283,1.3488800462442543
6222026704841644,16,8469.359999999999,4,2,16,9,16,0.25,极高,226.96561111111112,2127.366666666667,608.3363888888889,0.6773500634801031,1.4206354015425902
6222028299146480,10,25561.73,4,2,10,6,10,0.4,极高,277.4738888888889,2117.8666666666663,690.3063888888889,0.8810198112008628,1.4835183683155242
6222028737025391,15,13268.6,4,1,15,8,15,0.26666666666666666,极高,212.82136904761904,1626.7,748.3663888888889,1.0803682938303105,2.661893364196761
6222025748253283,7,3830.77,3,0,6,6,7,0.42857142857142855,极高,334.8736574074074,5147.966666666667,906.3722222222223,0.9581949641811945,0.9827981858517781
6222021939042955,8,16835.09,3,0,7,6,8,0.375,极高,404.49392857142857,4900.066666666667,702.4341666666667,0.6029401026711538,1.336462471588712
6222022785736751,11,13242.4,2,2,10,7,11,0.18181818181818182,高,340.0275833333333,468.25,1245.5980555555554,1.3873592733270235,2.7535928985140408
6222023319936135,11,10458.199999999999,2,0,10,8,10,0.18181818181818182,高,235.7264166666667,4983.6,623.0613888888889,0.7700870101342482,1.6768318806270959
6222029333798503,10,6984.969999999999,2,2,8,7,10,0.2,高,395.4120987654321,4988.266666666666,753.6044444444444,0.6050482954137569,1.232312115492499
6222027803990970,7,8884.54,2,0,7,5,7,0.2857142857142857,极高,452.03657407407405,4766.5,1005.3005555555555,0.8285208187399499,1.2575812197364236
6222029986353481,8,15886.800000000001,2,2,8,6,8,0.25,极高,451.74603174603175,233.35,1843.2152777777778,1.4419692068394903,1.8936133455857656
6222021104906255,10,8544.17,1,0,8,6,9,0.1,高,369.1362345679012,259.8,1490.3927777777778,1.3945967407148097,2.425546987818612
6222022137651678,8,12398.68,1,0,8,6,8,0.125,高,460.3100396825397,356.7166666666667,890.6666666666666,0.7492876472740987,2.1163754220042734
6222021245522987,8,12122.0,1,1,8,5,8,0.125,高,377.44047619047615,702.1,1089.038611111111,1.0210015634592315,1.3824273249674524
6222025972484792,9,5649.48,1,0,8,5,9,0.1111111111111111,高,366.8828125,7694.383333333333,783.285,0.6494970404677447,1.3001900960622195
6222026491309593,11,2661.8599999999997,1,0,10,9,11,0.09090909090909091,高,208.1984722222222,920.3166666666667,542.8547222222222,0.7587878289153829,2.453776230658968
6222027567496105,7,3031.92,1,1,7,5,7,0.14285714285714285,高,557.5011574074074,5844.216666666666,938.6747222222223,0.6541093392167571,0.6542727494033411
6222029292791081,4,4379.59,0,0,4,3,4,0.0,低,216.14546296296297,3151.9833333333336,491.9738888888889,1.1115327356975566,1.0398181139790208
6222029303285822,7,1941.58,0,0,7,5,7,0.0,低,456.86097222222224,2982.116666666667,1855.8338888888889,1.5100660971912152,1.1066687652721263
6222029309500117,10,12070.72,0,0,10,7,10,0.0,低,293.49904320987656,34.416666666666664,930.4041666666667,1.0274062535045214,1.2751111520182656
6222029410288290,10,3121.62,0,0,10,7,10,0.0,低,315.2578086419753,256.85,984.5911111111111,1.1156302675274323,1.6181732785500185
6222029421518487,10,3439.89,0,0,9,4,10,0.0,低,384.8583024691358,212.98333333333332,1434.5422222222223,1.138117084119127,1.1240660603383055
6222029438411468,8,2977.29,0,0,7,6,7,0.0,低,455.28333333333336,1237.2666666666667,881.9647222222222,0.6948483279938958,1.8060839687354153
6222029462806178,8,4060.87,0,0,8,6,8,0.0,低,440.8594444444444,2704.7999999999997,1227.2413888888889,0.959247499019846,0.9807167929725706
6222029526836552,5,1383.15,0,0,5,5,5,0.0,低,616.5359027777778,21023.883333333335,929.5969444444445,0.44619239346365874,0.9124356556988255
6222029573276057,7,2493.64,0,1,6,5,7,0.0,低,328.18953703703704,2679.4166666666665,996.4102777777778,1.0347458809713486,1.1938027719934057
6222029592390865,9,5540.13,0,0,9,7,9,0.0,低,313.24114583333335,1363.1999999999998,820.5658333333333,1.0630958752341932,1.249621415925439
6222029597198563,9,2899.87,0,2,9,5,9,0.0,低,436.26197916666666,680.25,1211.6258333333333,0.9408771410228037,0.6500358216051852
6222029623534576,2,215.25,0,0,2,2,2,0.0,低,315.0888888888889,18905.333333333336,315.0888888888889,,
6222029639245200,11,3196.81,0,0,9,7,11,0.0,低,309.6968611111111,1252.5666666666666,1176.8366666666666,1.13465279912624,0.7862517678816014
6222021977515194,10,3504.09,0,0,8,7,10,0.0,低,262.9367901234568,360.91666666666663,745.8783333333333,0.9610256591846381,0.9597347403861325
6222021983297492,8,2671.44,0,0,8,6,8,0.0,低,463.7545634920635,2209.3333333333335,1240.5875,1.1108177028147312,1.619324478403373
6222022047905204,7,1424.58,0,2,7,6,7,0.0,低,551.477175925926,2533.4666666666667,1398.7747222222222,0.9733099464491733,0.7640975726912284
